path,type,owner,dependencies,affects_test,affects_deploy,notes
.clasp.json,config,DevOps,clasp,no,yes,Apps Script project binding referenced by clasp workflows
.claspignore,config,DevOps,clasp,no,yes,Ignore rules for clasp uploads to avoid bundling tooling assets
.env,config,Local Dev,npm scripts,no,no,Example-only environment override kept out of version control
.env.example,config,Local Dev,npm scripts,no,no,Template for local GAS_WEBAPP_URL and auth variables
.gas-deploy.json,config,DevOps,gas-deploy.mjs,no,yes,Deployment metadata consumed by gas-deploy automation
.github/dependabot.yml,config,DevOps,Dependabot,no,no,Security and upgrade schedule for npm packages
.github/pull_request_template.md,doc,Process,GitHub PR,no,no,Checklist that enforces change summary and testing evidence
.github/workflows/_tmpl_clasp.json,template,DevOps,GitHub Actions,no,yes,Starter clasp workflow JSON kept for reference only
.github/workflows/ci.yml,workflow,DevOps,"npm run lint; npm test; npm run e2e:ui; npm run e2e:remote; npm run test:a11y:pa11y; node scripts/health-check.mjs",yes,yes,Single PR CI covering lint/unit/local e2e/health/a11y with remote run gated by secrets
.github/workflows/ci-preview.yml,workflow,DevOps,"npx clasp; npm run e2e:*; node scripts/health-check.mjs",no,yes,Manual staging deploy plus local/remote Playwright smoke and health check
.github/workflows/codex-audit.yml,workflow,QA,"npm run lint; npm run typecheck; npm test; npm run e2e; npx jscpd; npx madge; npx knip",yes,no,Two-phase manual/issue_comment audit covering quality gates and static analysis
.github/workflows/gas-deploy.yml,workflow,DevOps,"npm test; npm run e2e:*; clasp",yes,yes,Single workflow for staged testing then production clasp deploy with health verification
.github/workflows/gas-deploy.yml.bak-20250929-054713,workflow-backup,DevOps,n/a,no,no,Historical backup of prior deploy workflow kept for reference
.github/workflows/npm-auto-upgrade.yml,workflow,DevOps,"npm outdated; npm update; npm test (manual); npm run e2e (manual)",conditional,conditional,Automated dependency PRs with optional manual test/e2e execution
.github/workflows/npm-outdated.yml,workflow,DevOps,"npm outdated; npm run e2e:ui (optional)",no,no,Weekly outdated report with optional local Playwright run when manually requested
.github/workflows/predeploy.yml,workflow,DevOps,"npx clasp version; npx clasp deploy",no,yes,Main-branch deploy gate ensuring clasp version bump and deployment
.github/workflows/新增 文字文件.txt,note,DevOps,n/a,no,no,Human log dropped into workflows directory for context only
.gitignore,config,DevOps,git,no,no,Repository ignore list covering artifacts and secrets
.husky/pre-commit,script,Dev Experience,"npm run lint",yes,no,Local git hook enforcing lint before commits
.husky/pre-push,script,Dev Experience,"npm test",yes,no,Local git hook running Jest before pushes
.husky/_/.gitignore,config,Dev Experience,husky,no,no,Placeholder ignore within Husky templates
.husky/_/applypatch-msg,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.husky/_/commit-msg,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.husky/_/h,script,Dev Experience,husky,no,no,Internal Husky helper referenced by generated hooks
.husky/_/husky.sh,script,Dev Experience,husky,no,no,Core Husky bootstrap sourced by all hooks
.husky/_/post-applypatch,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.husky/_/post-checkout,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.husky/_/post-commit,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.husky/_/post-merge,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.husky/_/post-rewrite,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.husky/_/pre-applypatch,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.husky/_/pre-auto-gc,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.husky/_/pre-commit,script,Dev Experience,"npm run lint",yes,no,Legacy duplicate pre-commit hook left from older Husky init
.husky/_/pre-merge-commit,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.husky/_/pre-push,script,Dev Experience,"npm test",yes,no,Legacy duplicate pre-push hook left from older Husky init
.husky/_/pre-rebase,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.husky/_/prepare-commit-msg,script,Dev Experience,git,no,no,Default Husky hook scaffold (unused)
.jscpd.json,config,QA,jscpd,no,no,Duplicate code scan configuration consumed during audits
.npmrc,config,DevOps,npm,no,no,Registry and npm CLI preferences
.nvmrc,config,DevOps,nvm,no,no,Recommended Node.js version pin
.pa11yci,config,QA,pa11y,yes,no,pa11y-ci defaults and target placeholders for accessibility scans
AGENTS.md,doc,Process,n/a,no,no,Repository-wide governance and execution guidelines
CHANGELOG.md,doc,Product,n/a,no,no,Human-readable release log for Apps Script project
CODEX_TESTING_ISSUES.md,doc,QA,n/a,no,no,Known CI/container testing caveats for reviewers
README.md,doc,Product,"npm scripts; clasp; Playwright",no,yes,Comprehensive project guide covering setup, testing, and deployment
__tests__/a11y/sidebar-a11y.test.ts,test,QA,"jest; jest-axe",yes,no,Jest accessibility assertions loading Sidebar markup directly
