path,type,owner/責任,相依,是否影響測試,是否影響部署,備註
.github/dependabot.yml,config,DevOps/維運,"GitHub Dependabot","否","否","自動升級提醒排程，維持套件安全性" 
.github/pull_request_template.md,doc,維運/審查流程,"n/a","否","否","PR 內建審查模板，確保回報資訊完整" 
.github/workflows/_tmpl_clasp.json,template,DevOps/CI,"GitHub Secrets(SCRIPT_ID)","否","否","clasp 設定樣板，供 workflows 產生個人化 .clasp.json" 
.github/workflows/ci-preview.yml,workflow,DevOps/CI,"npm scripts (e2e:ui,e2e:remote,health); scripts/auto-repair.mjs; scripts/health-check.mjs; Playwright config","是","是","PR/push 預覽佈署並跑本地+遠端 UI、自動修復與健康檢查；與主 CI 重複" 
.github/workflows/codex-audit.yml,workflow,品質稽核,"npm scripts (lint,typecheck,test,e2e,build); Playwright; reports/ 目錄","是","否","手動 /issue_comment 觸發稽核，產出靜態分析與測試報告" 
.github/workflows/gas-deploy.yml,workflow,DevOps/部署,"clasp; scripts/auto-repair.mjs; scripts/health-check.mjs; npm run e2e:*; secrets GAS_*","是","是","main 分支 CI + 部署；執行 Jest、Playwright、本地/遠端 E2E、健康檢查與 GAS 版本佈署" 
.github/workflows/gas-deploy.yml.bak-20250929-054713,workflow-backup,DevOps/歷史備份,"n/a","否","否","舊版部署流程備份，僅供參考不應觸發" 
.github/workflows/npm-auto-upgrade.yml,workflow,DevOps/維運,"npm outdated/npm-check-updates; Playwright; npm test; npm run e2e","是","否","排程/手動套件升級，會開自動 PR，內含測試與 E2E" 
.github/workflows/npm-outdated.yml,workflow,DevOps/維運,"npm outdated; Playwright（手動選項）","否","否","每週產出套件盤點，可手動加跑本地 @ui" 
.github/workflows/predeploy.yml,workflow,DevOps/部署前檢查,"npm run e2e:ui; npm run e2e:remote; scripts/auto-repair.mjs; scripts/health-check.mjs; clasp","是","是","PR/main 佈署前品質關卡：跑 Playwright、本地/遠端健康檢查並推 PROD 版本" 
.github/workflows/新增 文字文件.txt,note,DevOps/歷史記錄,"n/a","否","否","手動摘錄 GitHub CLI 日誌，不會被 runner 執行" 
CHANGELOG.md,doc,產品/知識管理,"n/a","否","否","高層次版本變更紀錄" 
CODEX_TESTING_ISSUES.md,doc,品質/測試,"n/a","否","否","列出已知測試環境問題與 workaround" 
README.md,doc,產品/知識管理,"src/*; scripts/*; workflows","否","否","專案總覽、安裝、HEADING_SCHEMA 說明；需與 AGENTS.md 同步" 
AGENTS.md,doc,維運/流程治理,"n/a","否","否","工作指引與程式規範" 
package.json,config,全端/工具鏈,"npm scripts; jest.config.cjs; tsconfig.test.json; playwright.config.mjs","是","是","定義指令、套件版本與 engines；影響所有自動化流程" 
package-lock.json,lockfile,全端/工具鏈,"npm registry","是","是","鎖定依賴版本，確保 CI 與部署可重現" 
tsconfig.json,config,前端/型別設定,"tsconfig.test.json","是","否","目前僅 re-export 測試設定，實際設定在 tsconfig.test.json" 
tsconfig.test.json,config,前端/型別設定,"Jest、Playwright 型別; NodeNext 模組解析","是","否","測試 TypeScript 編譯選項；include __tests__/、playwright/" 
eslint.config.js,config,全端/品質,"@eslint/js; @typescript-eslint; eslint-plugin-jest; eslint-plugin-playwright","是","否","Flat config；控制 lint 範圍與規則" 
prettier.config.cjs,config,全端/品質,"Prettier","否","否","格式化規則" 
